epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,600.668,0.74337,0.48289,0.96855,0.94435,0.90821,0.95907,0.70098,0.95252,0.54827,0.92326,0.000834822,0.000834822,0.000834822
44,615.308,0.75339,0.48716,0.97124,0.93523,0.89646,0.95948,0.69849,0.96168,0.50762,0.92231,0.000820675,0.000820675,0.000820675
45,629.283,0.73492,0.4841,0.96576,0.94887,0.91055,0.95918,0.6885,0.94876,0.52043,0.92732,0.000806528,0.000806528,0.000806528
46,643.363,0.73391,0.48302,0.97094,0.91301,0.90598,0.95956,0.67404,1.03061,0.54557,0.95151,0.00079238,0.00079238,0.00079238
47,657.703,0.73854,0.48074,0.9704,0.95033,0.89829,0.95633,0.69361,0.93638,0.53914,0.91494,0.000778233,0.000778233,0.000778233
48,671.713,0.74227,0.48548,0.97533,0.93218,0.92171,0.95963,0.69484,0.96062,0.5596,0.92145,0.000764086,0.000764086,0.000764086
49,685.591,0.73623,0.47923,0.96806,0.92464,0.92144,0.95715,0.69358,0.96351,0.50242,0.92794,0.000749939,0.000749939,0.000749939
50,699.602,0.73185,0.48005,0.96807,0.91808,0.91421,0.96211,0.70835,0.9449,0.48565,0.93171,0.000735792,0.000735792,0.000735792
51,713.788,0.74694,0.49154,0.96871,0.92559,0.91275,0.96491,0.68554,0.99453,0.52043,0.93916,0.000721645,0.000721645,0.000721645
52,728.406,0.72428,0.47291,0.968,0.90961,0.92579,0.96425,0.69062,0.96537,0.55332,0.93083,0.000707498,0.000707498,0.000707498
53,742.814,0.73505,0.47494,0.96699,0.92956,0.93742,0.95996,0.70745,0.93897,0.49517,0.92408,0.000693351,0.000693351,0.000693351
54,756.787,0.73381,0.4722,0.96677,0.9479,0.90815,0.96161,0.69725,0.93715,0.55019,0.91806,0.000679204,0.000679204,0.000679204
55,770.804,0.72284,0.47332,0.96576,0.9355,0.92624,0.96688,0.6802,0.99384,0.51098,0.94063,0.000665057,0.000665057,0.000665057
56,784.828,0.74054,0.47549,0.97802,0.93789,0.90984,0.96112,0.6951,0.97167,0.51,0.92765,0.000650909,0.000650909,0.000650909
57,799.164,0.72172,0.47558,0.96839,0.93281,0.9095,0.96311,0.69356,0.94423,0.51357,0.9254,0.000636762,0.000636762,0.000636762
58,815.771,0.72435,0.46393,0.96684,0.91559,0.90915,0.95795,0.63964,1.10265,0.54659,0.96328,0.000622615,0.000622615,0.000622615
59,830.485,0.73111,0.47164,0.96532,0.93538,0.91661,0.96601,0.66971,1.03288,0.51396,0.94655,0.000608468,0.000608468,0.000608468
60,844.125,0.71336,0.46861,0.96588,0.93672,0.91919,0.96367,0.69647,0.99533,0.50242,0.94425,0.000594321,0.000594321,0.000594321
61,857.762,0.71705,0.47309,0.96651,0.93691,0.92609,0.96511,0.69907,0.95163,0.50504,0.9285,0.000580174,0.000580174,0.000580174
62,871.332,0.71433,0.45521,0.96353,0.95164,0.90662,0.96281,0.70582,0.97132,0.48563,0.9296,0.000566027,0.000566027,0.000566027
63,884.864,0.72112,0.4539,0.96721,0.96951,0.88124,0.96399,0.67312,1.02872,0.52213,0.94983,0.00055188,0.00055188,0.00055188
64,898.684,0.7104,0.45618,0.9636,0.93122,0.918,0.96522,0.68953,0.9857,0.49321,0.93676,0.000537733,0.000537733,0.000537733
65,912.518,0.71261,0.45815,0.96156,0.92831,0.91855,0.96367,0.67465,1.02045,0.52117,0.95078,0.000523586,0.000523586,0.000523586
66,926.195,0.71024,0.45434,0.96335,0.93065,0.92624,0.96685,0.68576,1.02079,0.49861,0.94571,0.000509438,0.000509438,0.000509438
67,939.993,0.71303,0.45243,0.96298,0.94187,0.92016,0.9656,0.70347,0.93706,0.49106,0.92122,0.000495291,0.000495291,0.000495291
68,954.172,0.71559,0.45602,0.96717,0.95191,0.92379,0.9676,0.68283,1.0039,0.50505,0.94455,0.000481144,0.000481144,0.000481144
69,967.883,0.69876,0.44675,0.96105,0.9483,0.92064,0.96775,0.69305,0.9756,0.49555,0.93043,0.000466997,0.000466997,0.000466997
70,981.831,0.70059,0.45049,0.9627,0.9438,0.91792,0.96555,0.68691,0.99233,0.50177,0.93654,0.00045285,0.00045285,0.00045285
